,name,salary,company,additional,skills,date
0,Golang-разработчик в 2GIS.KIT,,2GIS,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Golang', 'PostgreSQL']",5 июня
1,System Analyst (OSMP),,Лаборатория Касперского,['Можно удаленно'],"['Системный аналитик', 'Бизнес аналитика', 'Системный анализ']",5 июня
2,Fullstack QA engineer (C#),от 200 000 ₽,Альфа-Банк,"['Москва', 'Санкт-Петербург', 'Екатеринбург', 'Полный рабочий день', 'Можно удаленно']","['Инженер по автоматизации тестирования', 'Средний (Middle)', 'C#', 'Selenium']",5 июня
3,Инженер-аналитик L2 мониторинга SOC,,Бастион,"['Красноярск', 'Новосибирск', 'Тюмень', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'Мониторинг', 'Информационная безопасность']",5 июня
4,Инженер-аналитик L2 мониторинга SOC,,Бастион,"['Владивосток', 'Находка', 'Уссурийск', 'Полный рабочий день']","['Инженер по безопасности', 'Средний (Middle)', 'Мониторинг', 'Информационная безопасность']",5 июня
5,IOS разработчик в Яндекс Еду,,Яндекс,"['Москва', 'Санкт-Петербург', 'Казань', 'Полный рабочий день', 'Можно удаленно']","['Разработчик мобильных приложений', 'Старший (Senior)', 'Swift', 'SwiftUI', 'Разработка под iOS', 'UIKit']",5 июня
6,Разработчик мобильных приложений (Cocos2d/Defold/Solar2d/Starling) webview,от 1000 $,MST,"['Неполный рабочий день', 'Можно удаленно']","['Разработчик мобильных приложений', 'Веб-разработка']",5 июня
7,Ведущий разработчик 1С (удаленно),от 250 000 до 300 000 ₽,Сервис РАКЕТА,"['Полный рабочий день', 'Можно удаленно']","['Программист 1С', 'Старший (Senior)', 'Разработка под 1С']",5 июня
8,Fullstack-разработчик с опытом разработки веб-приложений,от 100 000 до 300 000 ₽,Landmark Center,"['Неполный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Веб-разработка', 'JavaScript', 'HTML', 'CSS', 'PostgreSQL', 'React']",5 июня
9,PHP / Bitrix-разработчик ,от 160 000 ₽,ДАЛЕЕ,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'CMS «1С-Битрикс»', 'PHP']",5 июня
10,Системный аналитик,от 150 000 ₽,ДАЛЕЕ,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'REST', 'Apache Kafka', 'SQL', 'Системный анализ']",5 июня
11,Разработчик фронтенда в Конструктор лендингов,от 220 000 до 350 000 ₽,Яндекс,"['Екатеринбург', 'Нижний Новгород', 'Полный рабочий день']","['Фронтенд разработчик', 'Средний (Middle)', 'JavaScript', 'TypeScript', 'React', 'HTML', 'CSS', 'Node.js']",5 июня
12,Разработчик в Yandex DevPlatform,от 270 000 до 400 000 ₽,Яндекс,"['Москва', 'Санкт-Петербург', 'Екатеринбург', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Golang', 'Kotlin']",5 июня
13,Разработчик 1С в Едадил,,Яндекс,"['Москва', 'Полный рабочий день']","['Программист 1С', 'Средний (Middle)', 'SQL']",5 июня
14,Senior iOS разработчик [NUUM],,МТС,"['Москва', 'Полный рабочий день']","['Разработчик мобильных приложений', 'Старший (Senior)', 'UIKit', 'Swift', 'SwiftUI', 'Разработка под iOS', 'Разработка мобильных приложений']",5 июня
15,Java разработчик,,T-Bank,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'Java', 'Spring Boot', 'Java Spring Framework', 'Docker', 'Высоконагруженные системы', 'Kubernetes', 'Apache Kafka', 'PostgreSQL', 'RabbitMQ', 'MySQL']",5 июня
16,Тестировщик роботизированных процессов,,X5 Tech,"['Полный рабочий день', 'Можно удаленно']","['Инженер по ручному тестированию', 'Средний (Middle)', 'SQL', 'REST', 'Функциональное тестирование', 'Ручное тестирование', 'Тестирование API', 'Разработка тест-кейсов', 'Автоматизация процессов', 'Python', 'Разработчик RPA']",5 июня
17,Системный аналитик (удаленно),,ИТ-компания «Лоция»,"['Москва', 'Санкт-Петербург', 'Казань', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'SQL', 'Бизнес аналитика', 'BPMN', 'UML', 'Анализ требований', 'Системный анализ', 'Разработка ТЗ', 'XML', 'Техническая документация', 'Проектирование информационных систем']",5 июня
18,Solution Architect,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Архитектор программного обеспечения', '.NET', 'Python', 'Golang', 'Node.js', 'Kotlin', 'Scala', 'Perl', 'PostgreSQL', 'ClickHouse', 'Tarantool']",5 июня
19,Data инженер,,Bell Integrator,"['Казань', 'Нижний Новгород', 'Уфа', 'Полный рабочий день', 'Можно удаленно']","['Разработчик баз данных', 'Старший (Senior)', 'Apache Hadoop', 'Greenplum', 'Apache Spark', 'Базы данных', 'Apache Kafka']",5 июня
20,Data инженер,,Bell Integrator,"['Москва', 'Санкт-Петербург', 'Калининград', 'Полный рабочий день', 'Можно удаленно']","['Разработчик баз данных', 'Старший (Senior)', 'Apache Hadoop', 'Greenplum', 'Apache Spark', 'Базы данных', 'Apache Kafka']",5 июня
21,middle/senior Системный аналитик (МТС Голосовая экосистема),,МТС,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'UML', 'BPMN', 'REST', 'JSON', 'XML', 'SOAP', 'Системный анализ', 'Системная аналитика']",5 июня
22,Инженер виртуализации второй линии технической поддержки MWS (#CloudMTS),,МТС,"['Москва', 'Полный рабочий день']","['Системный администратор', 'Средний (Middle)', 'VMware']",5 июня
23,Deep Learning Engineer в команду Perception,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Python', 'C++', 'PyTorch']",5 июня
24,Deep learning engineer в End-2-End self driving,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Python', 'Алгоритмы и структуры данных', 'Deep Learning']",5 июня
25,Deep Learning Engineer (Motion Prediction),,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Старший (Senior)', 'Python', 'C++', 'Алгоритмы и структуры данных', 'Deep Learning']",5 июня
26,Бизнес-аналитик (Fullstack),,Hoff Tech,"['Полный рабочий день', 'Можно удаленно']","['Бизнес-аналитик', 'Средний (Middle)', 'BPMN', 'Jira']",5 июня
27,Программист С++,от 180 000 ₽,Электрон,"['Санкт-Петербург', 'Полный рабочий день']","['Разработчик приложений', 'C++', 'Python', 'Boost', 'Qt', 'C++ boost', 'QML', 'Git']",5 июня
28,Руководитель отдела разработки программного обеспечения,от 250 000 ₽,Электрон,"['Санкт-Петербург', 'Полный рабочий день']","['Директор проекта', 'С++ builder', 'Python', 'Git', 'Qt', 'Jira', 'TCP', 'QML', 'Просмотр кода', 'PostgreSQL']",5 июня
29,Программист ПЛИС,от 180 000 ₽,Электрон,"['Санкт-Петербург', 'Полный рабочий день']","['Инженер встраиваемых систем', 'Средний (Middle)', 'SystemVerilog']",5 июня
30,Руководитель группы Интеграции данных и Локального окружения,,SberAutoTech,"['Москва', 'Полный рабочий день']","['Бэкенд разработчик', 'Ведущий (Lead)', 'Python', 'C++']",5 июня
